Timer started ...
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS1_2_.OUT), to(o_DIS1_2_.PAD)
MOD: delay(45 45), type(tPDi), from(o_DIS1_2_ ), to(o_DIS1_2_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS1_1_.OUT), to(o_DIS1_1_.PAD)
MOD: delay(45 45), type(tPDi), from(o_DIS1_1_ ), to(o_DIS1_1_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS1_0_.OUT), to(o_DIS1_0_.PAD)
MOD: delay(45 45), type(tPDi), from(o_DIS1_0_ ), to(o_DIS1_0_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS2_5_.OUT), to(o_DIS2_5_.PAD)
MOD: delay(45 45), type(tPDi), from(o_DIS2_5_ ), to(o_DIS2_5_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_TOPRED_7_.OUT), to(o_TOPRED_7_.PAD)
MOD: delay(45 45), type(tPDi), from(o_TOPRED_7_ ), to(o_TOPRED_7_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS2_4_.OUT), to(o_DIS2_4_.PAD)
MOD: delay(45 45), type(tPDi), from(o_DIS2_4_ ), to(o_DIS2_4_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS2_3_.OUT), to(o_DIS2_3_.PAD)
MOD: delay(45 45), type(tPDi), from(o_DIS2_3_ ), to(o_DIS2_3_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_MIDRED_7_.OUT), to(o_MIDRED_7_.PAD)
MOD: delay(45 45), type(tPDi), from(o_MIDRED_7_ ), to(o_MIDRED_7_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS2_2_.OUT), to(o_DIS2_2_.PAD)
MOD: delay(45 45), type(tPDi), from(o_DIS2_2_ ), to(o_DIS2_2_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS2_1_.OUT), to(o_DIS2_1_.PAD)
MOD: delay(45 45), type(tPDi), from(o_DIS2_1_ ), to(o_DIS2_1_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_BOTRED_7_.OUT), to(o_BOTRED_7_.PAD)
